Study,Time,DV,Arm,Dose,DV_CHR,Type_DV,Type_VAR,VAR,LVAR,UVAR,Route,Drug,Dose_freq,Unit_time,Unit_DV,Unit_dose,Source,Figure,Legend
,13.3,42.01272065,,,,,,,,,,,,,,,,,
,13.3,15.56493141,,,,,,,,,,,,,,,,,
,13.4,42.14173426,,,,,,,,,,,,,,,,,
,13.4,15.69394501,,,,,,,,,,,,,,,,,
,13.5,42.27074787,,,,,,,,,,,,,,,,,
,13.5,15.95197223,,,,,,,,,,,,,,,,,
,13.6,42.52877508,,,,,,,,,,,,,,,,,
,13.7,43.0448295,,,,,,,,,,,,,,,,,
,13.8,59.17153026,,,,,,,,,,,,,,,,,
,13.8,43.0448295,,,,,,,,,,,,,,,,,
,13.9,59.30054387,,,,,,,,,,,,,,,,,
,13.9,43.43187032,,,,,,,,,,,,,,,,,
,14,59.30054387,,,,,,,,,,,,,,,,,
,14,43.81891114,,,,,,,,,,,,,,,,,
,14.1,59.55857108,,,,,,,,,,,,,,,,,
,14.1,43.81891114,,,,,,,,,,,,,,,,,
,14.2,59.68758469,,,,,,,,,,,,,,,,,
,14.2,44.20595196,,,,,,,,,,,,,,,,,
,14.3,44.98003359,,,,,,,,,,,,,,,,,
,14.4,45.49608802,,,,,,,,,,,,,,,,,
,14.5,45.49608802,,,,,,,,,,,,,,,,,
,14.5,16.85506747,,,,,,,,,,,,,,,,,
,14.6,45.75411523,,,,,,,,,,,,,,,,,
,14.6,16.98408108,,,,,,,,,,,,,,,,,
,14.7,46.27016966,,,,,,,,,,,,,,,,,
,14.7,16.98408108,,,,,,,,,,,,,,,,,
,14.8,62.0098296,,,,,,,,,,,,,,,,,
,14.8,46.27016966,,,,,,,,,,,,,,,,,
,14.8,17.11309468,,,,,,,,,,,,,,,,,
,14.9,62.39687041,,,,,,,,,,,,,,,,,
,14.9,46.91523769,,,,,,,,,,,,,,,,,
,14.9,17.37112189,,,,,,,,,,,,,,,,,
,15,62.39687041,,,,,,,,,,,,,,,,,
,15,47.68931932,,,,,,,,,,,,,,,,,
,15,17.37112189,,,,,,,,,,,,,,,,,
,15.1,62.65489763,,,,,,,,,,,,,,,,,
,15.1,47.68931932,,,,,,,,,,,,,,,,,
,15.1,17.5001355,,,,,,,,,,,,,,,,,
,15.2,62.91292484,,,,,,,,,,,,,,,,,
,15.2,48.20537375,,,,,,,,,,,,,,,,,
,15.2,17.62914911,,,,,,,,,,,,,,,,,
,15.3,48.59241456,,,,,,,,,,,,,,,,,
,15.4,49.10846899,,,,,,,,,,,,,,,,,
,15.4,17.88717632,,,,,,,,,,,,,,,,,
,15.4,9.888332741,,,,,,,,,,,,,,,,,
,15.5,49.10846899,,,,,,,,,,,,,,,,,
,15.5,18.14520353,,,,,,,,,,,,,,,,,
,15.5,10.01734635,,,,,,,,,,,,,,,,,
